Short ID,Survival,Quantity,Height (cm),Open Closed,Location UML,Water Yes No,Sampling Group
M_C_12_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_12_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_12_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_12_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_13_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_14_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_16_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_16_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_16_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_17_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_18_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_20_1,FALSE,0,0,Closed,Middle,No,M_C
M_C_20_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_20_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_21_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_22_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_22_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_23_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_23_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_23_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_25_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_25_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_27_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_28_2,TRUE,0,0,Closed,Middle,Yes,M_C
M_C_28_3,FALSE,0,0,Closed,Middle,No,M_C
M_C_28_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_29_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_29_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_31_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_33_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_33_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_33_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_35_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_36_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_38_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_38_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_39_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_39_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_40_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_40_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_43_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_44_2,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_44_4,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_46_1,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_47_3,FALSE,0,0,Closed,Middle,Yes,M_C
M_C_47_4,FALSE,0,0,Closed,Middle,No,M_C
M_C_48_2,FALSE,0,0,Closed,Middle,No,M_C
M_C_49_2,FALSE,0,0,Closed,Middle,No,M_C
